id,text_description
254509,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение монитор подключаемый к компьютеру процессоры материнские платы модули оперативной памяти видеокарты блоки питания встраиваемые вентиляторы охлаждения корпусные корпуса системных блоков электронные компоненты и комплектующие информационно-технологического оборудования
254521,товары товары строительные материалы уплотняющие герметики клеи
254522,товары товары для образовательных организаций метеостанции учебные
254532,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы лампы газоразрядные
254538,товары товары хозяйственные техника бытовая инвентарь уборочный металлический инвентарь уборочный пластмассовый
254546,товары мебель общего назначения мебель общего назначения мебель общего назначения
254555,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение аппараты телефонные для ip-телефонии и ip-видеотелефонии
254565,товары товары строительные сверла и буры диски точильные отрезные шлифовальные метизы крепежные изделия
254567,товары мебель общего назначения столы
254588,товары товары медицинские негатоскопы
254595,товары транспортные средства расходные материалы и запасные части для них принадлежности для автотранспорта
254598,товары товары хозяйственные техника бытовая средства для посудомоечных машин
254606,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение аудиооборудование
254615,товары товары строительные инструмент ручной прочий сверла и буры диски точильные отрезные шлифовальные
254622,товары товары медицинские ножи медицинские товары для учреждений культуры и искусства кисти художественные материалы из полимеров и пластмасс для товаров культуры и искусства расходные материалы для культуры и искусства прочие
254625,товары товары строительные материалы строительные полимерные материалы уплотняющие герметики клеи линолеум панели стеновые
254626,товары оборудование производственное и технологическое термометр жикдостный стеклянный технический
254627,товары мебель общего назначения мебель общего назначения мебель общего назначения
254630,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы выключатели автоматические автоматы устройства защитные и коммутации электрические расходные материалы и комплектующие для освещения
254633,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх прочее оборудование и инвентарь для жкх
254640,продукты пищевые продукция соковая из фруктов и овощей соки из фруктов восстановленные прочие фрукты овощи и грибы переработанные и консервированные не включенные в другие группировки горох консервированный без уксуса или уксусной кислоты кроме готовых блюд из овощей
254648,товары товары строительные оборудование лифтовое подъемное и дополнительное
254657,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы светильники нестационарные
254670,товары оборудование производственное и технологическое оборудование для механообработки
254677,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для лазерных принтеров и мфу расходные материалы и комплектующие для матричных принтеров
254700,товары товары медицинские халаты медицинские многоразовые костюмы медицинские многоразовые установки обеззараживания и очистки воздуха
254703,товары товары хозяйственные техника бытовая средства чистящие средства чистящие средства моющие кроме предназначенных для стирки средства моющие для туалетов и ванных комнат средства для дезодорирования и ароматизации воздуха мыло туалетное жидкое мыло хозяйственное твердое порошок стиральный средства отбеливающие для стирки
254705,товары товары строительные арматура электротехническая материалы электроизоляционные кабели электрические строительные
254709,товары товары строительные материалы гидроизоляционные
254715,
254724,товары изделия канцелярские бумага и бумажные изделия фломастеры карандаши чернографитные карандаши цветные ластики точилки для карандашей
254728,товары товары медицинские маски медицинские нестерильные одноразовые средства для дезинфекции и очистки медицинских изделий и индикаторные полоски к ним оборудование измерительное
254740,товары товары медицинские стулья медицинские столы медицинские ширма медицинская
254742,товары товары хозяйственные техника бытовая лента клейкая упаковочная
254755,товары изделия канцелярские бумага и бумажные изделия принадлежности для очистки оргтехники
254770,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы элементы питания батарейки
254780,товары товары строительные материалы уплотняющие герметики клеи
254783,товары товары для противопожарных аварийно-спасательных служб и служб гражданской обороны инвентарь для спасательных служб и служб гражданской обороны прочий
254796,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение аппараты телефонные беспроводные
254797,товары товары спортивные спортивные тренажеры спортивные тренажеры спортивные насосы товары для общефизической подготовки товары для общефизической подготовки товары для общефизической подготовки судейский инвентарь спортивное оборудование и инвентарь для единоборств оборудование и инвентарь для гимнастики спортивной художественной спортивной аэробики шейпинга оборудование и инвентарь для гимнастики спортивной художественной спортивной аэробики шейпинга оборудование и инвентарь для гимнастики спортивной художественной спортивной аэробики шейпинга оборудование и инвентарь для футбола мини-футбола оборудование и инвентарь для волейбола оборудование и инвентарь для волейбола оборудование и инвентарь для волейбола оборудование и инвентарь для атлетики оборудование и инвентарь для атлетики оборудование и инвентарь для настольного тенниса оборудование и инвентарь для настольного тенниса оборудование и инвентарь для большого тенниса специальная экипировка для единоборств
254801,товары товары медицинские средства реабилитации технические аптечки медицинские бандаж на шейный отдел позвоночника
254804,товары элементы благоустройства территории оборудование для дворовых территорий элементы благоустройства территории изделия благоустройства дорожно-тропиночной сети территорий
254806,товары товары для образовательных организаций пособия учебные наглядные за исключением печатных
254815,товары товары для учреждений культуры и искусства одежда сцены
254816,средства лекарственные и материалы применяемые в медицинских целях средства лекарственные и материалы применяемые в медицинских целях растворы плазмозамещающие и перфузионные гормоны гипоталамуса и гипофиза и их аналоги
254834,товары товары медицинские текстиль и полимерные изделия медицинские однократного применения
254842,товары товары строительные сыпучие строительные материалы и смеси
254845,товары системы охраны наблюдения обеспечения безопасности системы охранной пожарной сигнализации и оборудование для них
254846,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх прочее оборудование и инвентарь для жкх
254850,товары товары хозяйственные техника бытовая бумага туалетная бумажные изделия санитарно-гигиенического и хозяйственного назначения косметика парфюмерия предметы гигиены
254854,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы аккумуляторы кроме предназначенных для информационно-технологических устройств
254855,оборудование компьютерное электронное и оптическое оборудование компьютерное электронное и оптическое компьютеры портативные массой не более 10 кг такие как ноутбуки планшетные компьютеры карманные компьютеры в том числе совмещающие функции мобильного телефонного аппарата
254879,товары товары медицинские шапочки медицинские нестерильные
254880,товары товары для образовательных организаций материалы расходные для учебного оборудования
254883,товары товары строительные комплектующие для потолков
254887,товары товары для противопожарных аварийно-спасательных служб и служб гражданской обороны огнетушители ручные
254890,товары товары для образовательных организаций оборудование монтажное мультимедийное учебное
254900,товары товары строительные сыпучие строительные материалы и смеси
254904,товары товары хозяйственные техника бытовая метеостанции бытовые
254920,товары товары медицинские преаналитические системы и системы хранения и транспортировки биологического материала преаналитические системы и системы хранения и транспортировки биологического материала
254923,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы топливо дизельное розничная реализация
254926,товары товары для учреждений культуры и искусства кисти художественные
254933,товары товары для учреждений культуры и искусства материалы для живописи и графики материалы для лепки и скульптуры
254938,товары товары строительные оборудование сантехническое
254949,оборудование компьютерное электронное и оптическое оборудование компьютерное электронное и оптическое машины вычислительные электронные цифровые содержащие в одном корпусе центральный процессор и устройство ввода и вывода объединенные или нет для автоматической обработки данных
254950,товары товары строительные инструмент мерительный электронный оптический и электронно-оптический
254961,товары товары для противопожарных аварийно-спасательных служб и служб гражданской обороны инвентарь пожарный гидравлический инвентарь пожарный механический огнетушители ручные средства пожаротушения средства пожаротушения разветвления рукавные пожарные инструменты ручные аварийно-спасательные инвентарь для спасательных служб и служб гражданской обороны прочий
254967,товары литература и полиграфическая продукция плакаты
254977,товары одежда включая форменную обувь галантерея головные уборы одежда специальная для защиты от общих производственных загрязнений и механических воздействий
254981,товары элементы благоустройства территории оборудование для детских площадок
254986,товары продукты пищевые морковь свекла
254998,товары литература и полиграфическая продукция литература справочная словари
255000,товары товары медицинские перевязочные материалы перчатки медицинские преаналитические системы и системы хранения и транспортировки биологического материала маски медицинские нестерильные одноразовые средства реабилитации технические бандаж на шейный отдел позвоночника
255004,товары товары хозяйственные техника бытовая перчатки хозяйственные резиновые тряпки для уборки салфетки насадки для уборки средства чистящие средства моющие для туалетов и ванных комнат средства для дезодорирования и ароматизации воздуха мыло хозяйственное твердое предметы личной гигиены бумага туалетная бумага туалетная бумажные изделия санитарно-гигиенического и хозяйственного назначения изделия бумажные гигиенического и хозяйственного назначения посуда одноразовая пластмассовая
255008,товары товары строительные стремянки лестницы переносные
255015,товары одежда включая форменную обувь галантерея головные уборы одежда специальная для защиты от общих производственных загрязнений и механических воздействий спецодежда специальная экипировка
255017,товары товары строительные сыпучие строительные материалы и смеси
255018,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы диоксид углерода газ углекислый технический
255020,товары мебель общего назначения шкафы
255022,товары товары строительные материалы и конструкции строительные кроме быстровозводимых
255023,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх реагенты противогололедные твердые
255027,товары товары строительные арматура электротехническая электродвигатели кабели электрические строительные кабели электрические строительные кабели электрические строительные кабели электрические строительные кабели электрические строительные кабели электрические строительные кабели электрические строительные
255028,товары товары медицинские оборудование измерительное
255035,товары изделия канцелярские бумага и бумажные изделия папки картонные
255044,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение смартфоны
255046,товары цветы растения товары для озеленения земля торф смеси семена газонных трав
255047,товары одежда включая форменную обувь галантерея головные уборы спецодежда специальная экипировка
255051,товары одежда включая форменную обувь галантерея головные уборы обувь форменная обувь
255058,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх газонокосилки прочее оборудование и инвентарь для жкх
255059,товары товары хозяйственные техника бытовая мыло хозяйственное жидкое
255064,товары товары строительные запчасти и комплектующие для отопительного оборудования прочие фурнитура для сантехничекого оборудования металлопрокат из черных металлов кроме рельсов материалы уплотняющие герметики клеи трубы и детали трубопроводов из полиэтилена трубы и детали трубопроводов прочие
255067,товары товары хозяйственные техника бытовая матрацы
255071,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение системы акустические модули оперативной памяти электронные компоненты и комплектующие информационно-технологического оборудования
255072,товары товары хозяйственные техника бытовая печи микроволновые
255073,товары товары хозяйственные техника бытовая метлы ерши щетки для уборки
255087,товары товары строительные писсуары настенные арматура сантехническая фурнитура для сантехничекого оборудования метизы крепежные изделия материалы строительные полимерные лента строительная адгезивная лента строительная адгезивная трубы и детали трубопроводов из полиэтилена арматура соединительная запорно-регулирующая прочая трубы и детали трубопроводов прочие
255096,товары товары строительные эмали краски колеры покрытия антикоррозионные
255098,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы аккумуляторы кроме предназначенных для информационно-технологических устройств
255100,товары товары хозяйственные техника бытовая лента клейкая упаковочная
255103,товары товары строительные фильтры для систем кондиционирования
255106,товары товары строительные перфораторы сверла и буры фрезы
255107,товары мебель общего назначения табуреты столы вешалки кровати
255120,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для кино и видеотехники фотографического оборудования
255129,товары товары медицинские составные и заменяемые части принадлежности и комплектующие для физиотерапевтического оборудования
255145,изделия металлические готовые кроме машин и оборудования изделия крепежные и винты крепежные изделия крепежные нерезьбовые из черных металлов прочие не включенные в другие группировки оборудование электрическое аппаратура распределительная и регулирующая электрическая части электрической распределительной или регулирующей аппаратуры оборудование электрическое батареи аккумуляторные прочие провода и кабели электронные и электрические прочие кабели силовые с медной жилой на напряжение более 1 кв изделия электроустановочные соединители электрические зажимы контактные наборы зажимов пускатели электромагнитные оборудование электрическое лампы ртутные высокого давления лампы натриевые высокого давления лампы светодиодные
255156,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение устройства хранения данных дисковые автономные внешние жесткие диски
255159,товары изделия канцелярские бумага и бумажные изделия бланки сувениры и награды
255161,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы лампы люминесцентные лампы светодиодные элементы части запасные для осветительного оборудования и светильников за исключением ламп и иных осветительных тел
255162,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы аккумуляторы кроме предназначенных для информационно-технологических устройств
255167,товары изделия канцелярские бумага и бумажные изделия бланки
255177,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение устройства хранения данных дисковые автономные внешние жесткие диски оборудование кросс-коммутационное и распределительное для сетей и линий связи модули оперативной памяти компоненты электронные электронные компоненты и комплектующие информационно-технологического оборудования
255180,товары продукты пищевые яйца куриные в скорлупе свежие
255200,товары товары медицинские расходные материалы для небулайзеров
255204,товары товары для образовательных организаций пособия учебные наглядные за исключением печатных
255222,товары товары строительные пиломатериалы
255226,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение системный блок программное обеспечение
255229,продукция и услуги сельского хозяйства и охоты фрукты тропические и субтропические бананы плоды цитрусовых культур апельсины плоды семечковых и косточковых культур яблоки продукты пищевые фрукты овощи и грибы переработанные и консервированные не включенные в другие группировки смеси сушеных фруктов сухой компот
255230,товары товары для учреждений культуры и искусства краски для рисования альбомы для рисования материалы для лепки и скульптуры папки для рисования
255238,товары товары медицинские изделия для оказания индивидуальной первой помощи аптечки медицинские дозиметры
255242,товары товары строительные лента строительная адгезивная ограждения инвентарные
255246,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы блоки питания кроме блоков питания для информационно-технологических устройств
255253,товары одежда включая форменную обувь галантерея головные уборы жилеты для взрослых куртки для взрослых уборы головные
255268,товары товары медицинские лупы бинокулярные
255269,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение коммутатор кабели сетевые с медными проводниками
255273,товары продукты пищевые фрукты ягоды переработанные и консервированные конфеты глазированные печенье сладкое пряники вафли мармелад пастила зефир карамель колбасы копченые продукты переработки мяса сливки вода питьевая
255287,товары товары строительные металлопрокат из черных металлов кроме рельсов металлопрокат из черных металлов кроме рельсов
255288,товары товары медицинские облучатели-рециркуляторы бактерицидные
255289,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для лазерных принтеров и мфу
255291,продукты пищевые продукты пищевые прочие не включенные в другие группировки продукты пищевые прочие не включенные в другие группировки
255296,товары товары медицинские преаналитические системы и системы хранения и транспортировки биологического материала
255301,товары товары медицинские термометры для контроля холодовой цепи
255305,товары товары хозяйственные техника бытовая инвентарь уборочный металлический инвентарь садовый металлический инвентарь садовый пластмассовый
255308,товары системы охраны наблюдения обеспечения безопасности контроллеры доступа
255310,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы выключатели автоматические автоматы устройства защитные и коммутации электрические
255316,товары товары строительные материалы уплотняющие герметики клеи
255322,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для устройств копировально-множительных
255331,оборудование компьютерное электронное и оптическое оборудование компьютерное электронное и оптическое приборы и аппараты для функциональной диагностики прочие применяемые в медицинских целях не включенные в другие группировки
