code,description
01.11.95.110,Семена подсолнечника для посева
01.11.95.120,Семена подсолнечника для переработки
01.11.95.130,Семена подсолнечника лущеные
01.11.99,"Семена прочих масличных культур, не включенные в другие группировки"
01.11.99.110,Семена клещевины
01.11.99.120,Семена масличного мака
01.11.99.130,Семена южной конопли
01.11.99.140,Семена среднерусской конопли
01.11.99.150,Семена рыжика
01.11.99.160,Семена сафлора
01.11.99.190,"Семена прочих масличных культур, не включенные в другие группировки"
01.12,Рис нешелушеный
01.12.1,Рис нешелушеный
01.12.10,Рис нешелушеный
01.12.10.110,Зерно нешелушеного риса
01.12.10.120,Семена нешелушеного риса
01.13,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды"
01.13.1,Культуры овощные салатные или зеленые
01.13.11,Спаржа
01.13.11.000,Спаржа
01.13.12,Капуста
01.13.12.110,Капуста брюссельская
01.13.12.120,Капуста белокочанная
01.13.12.130,Капуста краснокочанная
01.13.12.140,Капуста савойская
01.13.12.150,Капуста пекинская
01.13.12.160,Кольраби
01.13.12.190,Капуста прочая
01.13.13,Капуста цветная и брокколи
01.13.13.000,Капуста цветная и брокколи
01.13.14,Салат-латук
01.13.14.000,Салат-латук
01.13.15,Салат цикорный (витлуф)
01.13.15.000,Салат цикорный (витлуф)
01.13.16,Шпинат
01.13.16.000,Шпинат
01.13.17,Артишоки
01.13.17.000,Артишоки
01.13.19,Овощи листовые или стебельные прочие
01.13.19.000,Овощи листовые или стебельные прочие
01.13.2,Культуры бахчевые
01.13.21,Арбузы
01.13.21.000,Арбузы
01.13.29,Культуры бахчевые прочие
01.13.29.000,Культуры бахчевые прочие
01.13.3,Культуры овощные плодовые прочие
01.13.31,"Перец стручковый и горошковый черный, не сушеный"
01.13.31.000,"Перец стручковый и горошковый черный, не сушеный"
01.13.32,Огурцы
01.13.32.000,Огурцы
01.13.33,Баклажаны
01.13.33.000,Баклажаны
01.13.34,Томаты (помидоры)
01.13.34.000,Томаты (помидоры)
01.13.39,"Культуры овощные плодовые прочие, не включенные в другие группировки"
01.13.39.110,Кабачки
01.13.39.120,Кукуруза сахарная
01.13.39.130,Тыквы
01.13.39.140,Патиссоны
01.13.39.190,"Культуры овощные плодовые прочие, не включенные в другие группировки"
01.13.4,"Корнеплоды и клубнеплоды овощные, культуры овощные луковичные"
01.13.41,"Морковь, репа, брюква"
01.13.41.110,Морковь столовая
01.13.41.120,Репа
01.13.41.130,Брюква
01.13.42,Чеснок
01.13.42.000,Чеснок
01.13.43,Культуры овощные луковичные
01.13.43.110,Лук репчатый
01.13.43.120,Лук-шалот
01.13.43.190,Культуры овощные луковичные прочие
01.13.44,Лук-порей и прочие культуры овощные луковичные
01.13.44.000,Лук-порей и прочие культуры овощные луковичные
01.13.49,"Корнеплоды и клубнеплоды овощные, культуры овощные луковичные (без высокого содержания крахмала или инулина), прочие"
01.13.49.110,Свекла столовая
01.13.49.120,Редька
01.13.49.130,Редис
01.13.49.190,"Корнеплоды и клубнеплоды овощные, культуры овощные луковичные (без высокого содержания крахмала или инулина), прочие"
01.13.5,Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина
01.13.51,Картофель
01.13.51.110,Картофель столовый ранний
01.13.51.120,Картофель столовый поздний
01.13.51.130,Семена картофеля
01.13.52,Батат (картофель сладкий)
01.13.52.000,Батат (картофель сладкий)
01.13.53,Маниок (кассава)
01.13.53.000,Маниок (кассава)
01.13.59,"Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина, прочие"
01.13.59.000,"Корнеплоды столовые и клубнеплоды с высоким содержанием крахмала или инулина, прочие"
01.13.6,"Семена овощных культур, кроме семян сахарной свеклы"
01.13.60,"Семена овощных культур, кроме семян сахарной свеклы"
01.13.60.110,"Семена столовой свеклы, кроме семян сахарной свеклы"
01.13.60.120,"Семена однолетних овощных культур, кроме свеклы"
01.13.60.121,Лук-севок
01.13.60.129,"Семена прочих однолетних овощных культур, кроме свеклы"
01.13.60.130,Семена капусты всех видов
01.13.60.140,Семена корнеплодных овощных культур
01.13.60.150,Семена пасленовых овощных культур
01.13.60.160,Семена тыквенных овощных культур
01.13.60.170,Семена салатных овощных культур
01.13.60.180,Семена зеленых овощных культур
01.13.60.190,Семена бобовых овощных культур
01.13.60.210,Семена двухлетних овощных культур
01.13.60.220,Семена многолетних овощных культур
01.13.60.230,Семена бахчевых культур
01.13.60.240,Семенники овощных культур
01.13.60.250,Семенники бахчевых культур
01.13.60.260,"Маточники овощных культур, кроме свеклы"
01.13.7,Свекла сахарная и семена сахарной свеклы
01.13.71,Свекла сахарная
01.13.71.100,Свекла сахарная
01.13.71.110,Корнеплоды свеклы сахарной
01.13.71.120,Ботва свеклы сахарной
01.13.72,Семена сахарной свеклы
01.13.72.110,Семена сахарной свеклы шлифованные
01.13.72.120,Семена сахарной свеклы дражированные
01.13.72.130,Семена сахарной свеклы инкрустированные
01.13.72.140,Семенники сахарной свеклы
01.13.72.150,Маточники сахарной свеклы
01.13.8,Грибы и трюфели
01.13.80,Грибы и трюфели
01.13.80.000,Грибы и трюфели
01.13.9,"Овощи свежие, не включенные в другие группировки"
01.13.90,"Овощи свежие, не включенные в другие группировки"
01.13.90.000,"Овощи свежие, не включенные в другие группировки"
01.14,Тростник сахарный
01.14.1,Тростник сахарный
01.14.10,Тростник сахарный
01.14.10.000,Тростник сахарный
01.15,Табак необработанный
01.15.1,Табак необработанный
01.15.10,Табак необработанный
01.15.10.110,Табак ферментированный с неотделенной средней жилкой
01.15.10.100,Табачное и махорочное сырье
01.15.10.111,Табак ферментированный с неотделенной средней жилкой типа Вирджиния тепловой сушки
01.15.10.112,Табак ферментированный с неотделенной средней жилкой типа Берлей теневой сушки
01.15.10.113,Табак ферментированный с неотделенной средней жилкой типа Мэриленд теневой сушки
01.15.10.114,Табак ферментированный с неотделенной средней жилкой типа Кентукки огневой сушки
01.15.10.115,Табак ферментированный с неотделенной средней жилкой типа Ориенталь солнечной сушки
01.15.10.119,Табак ферментированный с неотделенной средней жилкой прочий
01.15.10.120,Табак ферментированный с частично или полностью отделенной средней жилкой
01.15.10.121,Табак ферментированный с частично или полностью отделенной средней жилкой типа Вирджиния тепловой сушки
01.15.10.122,Табак ферментированный с частично или полностью отделенной средней жилкой типа Берлей теневой сушки
01.15.10.123,Табак ферментированный с частично или полностью отделенной средней жилкой типа Мэриленд теневой сушки
01.15.10.124,Табак ферментированный с частично или полностью отделенной средней жилкой типа Кентукки огневой сушки
01.15.10.125,Табак ферментированный с частично или полностью отделенной средней жилкой типа Ориенталь солнечной сушки
01.15.10.129,Табак ферментированный с частично или полностью отделенной средней жилкой прочий
01.15.10.130,Махорка-сырье
01.15.10.131,Махорка-сырье неферментированное
01.15.10.132,Махорка-сырье ферментированное
01.15.10.190,"Табачные отходы, образующиеся при производстве табачного сырья"
01.15.10.200,"Семена табака, махорки"
01.15.10.210,Семена табака
01.15.10.220,Семена махорки
01.16,Культуры волокнистые прядильные
01.16.1,Культуры волокнистые прядильные
01.16.11,Хлопок-сырец очищенный или не очищенный от семян
01.16.11.110,Хлопок-сырец тонковолокнистых сортов хлопчатника
01.16.11.120,Хлопок-сырец средневолокнистых сортов хлопчатника
01.16.12,"Волокна джута, кенафа и прочих текстильных лубяных волокон необработанные или моченые, кроме льна, конопли обыкновенной и рами"
01.16.12.110,Волокна джута необработанные
01.16.12.120,Волокна кенафа необработанные
01.16.12.130,Волокна канатника необработанные
01.16.12.190,"Волокна текстильные лубяные необработанные или моченые прочие, кроме льна, конопли обыкновенной и рами"
01.16.19,"Лен, конопля обыкновенная и необработанные растительные текстильные волокна, не включенные в другие группировки"
01.16.19.110,Волокна льна необработанные
01.16.19.111,Волокно льна-долгунца
01.16.19.112,Соломка льна-долгунца
01.16.19.119,Волокно и соломка прочего льна
01.16.19.120,Волокно обыкновенной конопли необработанное
01.16.19.121,Волокно среднерусской конопли
01.16.19.122,Соломка среднерусской конопли
01.16.19.123,Волокно южной конопли
01.16.19.124,Соломка южной конопли
01.16.19.129,Волокно и соломка прочей конопли
01.16.19.130,Волокно пеньки необработанное
01.16.19.131,Волокно обыкновенной пеньки
01.16.19.132,Соломка обыкновенной пеньки
01.16.19.140,Волокно сизаля необработанное
01.16.19.150,Волокно кокосовое необработанное
01.16.19.160,Волокно абаки (манильской пеньки) необработанное
01.16.19.170,Волокно рами (китайской крапивы) необработанное
01.16.19.190,Волокна растительные текстильные необработанные прочие
01.19,Культуры однолетние прочие
01.19.1,Культуры кормовые
01.19.10,Культуры кормовые
01.19.10.110,Культуры кормовые корнеплодные
01.19.10.120,Культуры бахчевые кормовые
01.19.10.130,Культуры кормовые зернобобовые
01.19.10.190,"Культуры кормовые, не включенные в другие группировки"
01.19.2,Цветы срезанные и бутоны цветочные; семена цветочных культур
01.19.21,Цветы срезанные и бутоны цветочные
01.19.21.110,Розы срезанные
01.19.21.120,Гвоздики срезанные
01.19.21.130,Орхидеи срезанные
01.19.21.140,Гладиолусы срезанные
01.19.21.150,Хризантемы срезанные
01.19.21.190,Цветы срезанные прочие
01.19.22,Семена цветочных культур
01.19.22.110,Семена однолетних цветочных культур
01.19.22.120,Семена двухлетних цветочных культур
01.19.22.130,Семена многолетних цветочных культур
01.19.3,"Семена свеклы, семена кормовых культур; сырье растительное прочее"
01.19.31,Семена кормовой свеклы (кроме семян сахарной свеклы) и семена кормовых растений
01.19.31.110,Семена кормовой свеклы
01.19.31.120,"Семена кормовых корнеплодов, кроме кормовой свеклы"
01.19.31.130,Семенники кормовых корнеплодов
01.19.31.140,Маточники кормовых корнеплодов
01.19.31.150,Семена однолетних трав
01.19.31.160,Семена многолетних трав
01.19.31.161,Семена клевера
01.19.31.162,Семена люцерны
01.19.31.163,Семена эспарцета
01.19.31.164,Семена луговых пастбищных трав
01.19.31.165,Семена злаковых трав
01.19.31.169,Семена прочих многолетних трав
01.19.31.190,Семена прочих кормовых культур
01.19.39,"Сырье растительное, не включенное в другие группировки"
01.19.39.000,"Сырье растительное, не включенное в другие группировки"
01.2,Культуры многолетние
01.21,Виноград
01.21.1,Виноград
01.21.11,Виноград свежий столовых сортов
01.21.11.000,Виноград свежий столовых сортов
01.21.12,Виноград свежий прочих сортов
01.21.12.110,Виноград свежий кишмишных сортов
01.21.12.120,"Виноград свежий прочих сортов, не включенный в другие группировки"
01.22,Фрукты тропические и субтропические
01.22.1,Фрукты тропические и субтропические
01.22.11,Авокадо
01.22.11.000,Авокадо
01.22.12,Бананы
01.22.12.000,Бананы
01.22.13,Финики
01.22.13.000,Финики
01.22.14,Инжир
01.22.14.000,Инжир
01.22.19,Плоды тропических и субтропических культур прочие
01.22.19.000,Плоды тропических и субтропических культур прочие
01.23,Плоды цитрусовых культур
01.23.1,Плоды цитрусовых культур
01.23.11,Грейпфруты
01.23.11.000,Грейпфруты
01.23.12,Лимоны и лаймы
01.23.12.000,Лимоны и лаймы
01.23.13,Апельсины
01.23.13.000,Апельсины
01.23.14,"Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур"
01.23.14.000,"Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур"
01.23.19,Плоды цитрусовых культур прочие
01.23.19.000,Плоды цитрусовых культур прочие
01.24,Плоды семечковых и косточковых культур
01.24.1,Яблоки
01.24.10,Яблоки
01.24.10.000,Яблоки
01.24.2,Плоды семечковых и косточковых культур прочие
01.24.21,Груши
01.24.21.000,Груши
01.24.22,Айва
01.24.22.000,Айва
01.24.23,Абрикосы
01.24.23.000,Абрикосы
01.24.24,Вишня
01.24.24.000,Вишня
01.24.25,Персики
01.24.25.000,Персики
01.24.26,Нектарины
01.24.26.000,Нектарины
01.24.27,Сливы
01.24.27.000,Сливы
01.24.28,Терн
01.24.28.000,Терн
01.24.29,"Плоды семечковых и косточковых культур прочие, не включенные в другие группировки"
01.24.29.110,Черешня
01.24.29.120,"Алыча (ткемали, вишнеслива)"
01.24.29.130,Барбарис
01.24.29.140,Кизил
01.25,"Плоды прочих плодовых деревьев, кустарников и орехов"
01.25.1,Ягоды и плоды растений вида Vaccinium
01.25.11,Киви
01.25.11.000,Киви
01.25.12,Малина
01.25.12.000,Малина
01.25.13,Земляника (клубника)
01.25.13.000,Земляника (клубника)
01.25.19,"Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки"
01.25.19.110,Смородина черная
01.25.19.120,Смородина красная
01.25.19.130,Смородина белая
01.25.19.140,Крыжовник
01.25.19.150,Клюква
01.25.19.160,Брусника
01.25.19.170,Черника
01.25.19.180,Голубика
01.25.19.190,"Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки"
01.25.2,Семена плодовых культур
01.25.20,Семена плодовых культур
01.25.20.110,Семена плодовых семечковых культур
01.25.20.120,Семена плодовых косточковых культур
01.25.20.130,Семена ягодных культур
01.25.3,"Орехи, кроме лесных съедобных орехов, земляных орехов и кокосовых орехов"
01.25.31,Миндаль
01.25.31.000,Миндаль
01.25.32,Каштаны
01.25.32.000,Каштаны
01.25.33,Фундук
01.25.33.000,Фундук
01.25.34,Фисташки
01.25.34.000,Фисташки
01.25.35,Орехи грецкие
01.25.35.000,Орехи грецкие
01.25.39,"Орехи прочие, не включенные в другие группировки"
01.25.39.000,"Орехи прочие, не включенные в другие группировки"
01.25.9,"Плоды деревьев и кустарников прочие, не включенные в другие группировки"
01.25.90,"Плоды деревьев и кустарников прочие, не включенные в другие группировки"
01.25.90.110,Хурма
01.25.90.120,Гранат
01.25.90.130,Фейхоа
01.25.90.140,Мушмула
01.26,Плоды масличных культур
01.26.1,Оливки (маслины)
01.26.11,Оливки столовые
01.26.11.000,Оливки столовые
01.26.12,Оливки для производства оливкового масла
01.26.12.000,Оливки для производства оливкового масла
01.26.2,Орехи кокосовые
01.26.20,Орехи кокосовые
01.26.20.000,Орехи кокосовые
01.26.9,Плоды масличных культур прочие
01.26.90,Плоды масличных культур прочие
01.26.90.000,Плоды масличных культур прочие
01.27,Культуры для производства напитков
01.27.1,Культуры для производства напитков
01.27.11,Зерна кофейные необжаренные
01.27.11.000,Зерна кофейные необжаренные
01.27.12,Листья чая
01.27.12.110,Лист зеленого чая сортовой
01.27.12.120,Лист зеленого чая грубый
01.27.12.130,Лист черного чая сортовой
01.27.12.140,Лист черного чая грубый
01.27.13,Листья мате
01.27.13.000,Листья мате
01.27.14,Какао-бобы
01.27.14.000,Какао-бобы
01.27.19,Культуры для производства напитков прочие
01.27.19.110,Цикорий
01.27.19.190,"Культуры для производства напитков прочие, не включенные в другие группировки"
01.28,"Пряности и растения, используемые в парфюмерии и фармации"
01.28.1,Пряности необработанные
01.28.11,Перец необработанный
01.28.11.000,Перец необработанный
01.28.12,"Перец красный и стручковый, сухой, необработанный"
01.28.12.000,"Перец красный и стручковый, сухой, необработанный"
01.28.13,"Орех мускатный, мацис и кардамон необработанные"
01.28.13.110,Орех мускатный необработанный
01.28.13.120,Мацис необработанный
01.28.13.130,Кардамон необработанный
01.28.14,"Анис, бадьян, кориандр, тмин душистый и обыкновенный, фенхель и можжевеловые ягоды, необработанные"
01.28.14.110,Анис необработанный
01.28.14.120,Бадьян необработанный
01.28.14.130,Кориандр необработанный
01.28.14.140,Тмин необработанный
01.28.14.150,Фенхель необработанный
01.28.14.160,Ягоды можжевеловые необработанные
01.28.15,Корица необработанная
01.28.15.000,Корица необработанная
01.28.16,Гвоздика (стебли) необработанная
01.28.16.000,Гвоздика (стебли) необработанная
01.28.17,Имбирь сухой необработанный
01.28.17.000,Имбирь сухой необработанный
01.28.18,Ваниль необработанная
01.28.18.000,Ваниль необработанная
01.28.19,Пряности необработанные прочие
01.28.19.000,Пряности необработанные прочие
01.28.2,Шишки хмеля
01.28.20,Шишки хмеля
01.28.20.000,Шишки хмеля
01.28.3,"Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей"
01.28.30,"Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей"
01.28.30.110,Культуры эфиромасличные
01.28.30.120,Культуры лекарственные
01.28.30.190,"Растения, используемые в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей, прочие"
01.29,Культуры многолетние прочие
01.29.1,Каучук натуральный
01.29.10,Каучук натуральный
01.29.10.000,Каучук натуральный
01.29.2,Деревья рождественские (новогодние)
01.29.20,Деревья рождественские (новогодние)
01.29.20.000,Деревья рождественские (новогодние)
01.29.3,"Материалы растительные, используемые главным образом для плетения, а также набивки, крашения или дубления"
01.29.30,"Материалы растительные, используемые главным образом для плетения, а также набивки, крашения или дубления"
01.29.30.110,"Материалы растительные, используемые главным образом для плетения"
01.29.30.120,"Материалы растительные, используемые главным образом для набивки (например, капок, растительные волокна, морской взморник), в том числе в виде полотнищ на подложке из других материалов или без нее"
01.29.30.130,"Материалы растительного происхождения, используемые главным образом для производства щеточных изделий и метел"
01.29.30.190,"Материалы растительного происхождения, не включенные в другие группировки"
01.3,"Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы"
01.30,"Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы"
01.30.1,"Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы"
01.30.10,"Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы"
01.30.10.110,"Луковицы, клубнелуковицы, корневища цветов"
01.30.10.111,Луковицы гиацинтов
01.30.10.112,Луковицы нарциссов
01.30.10.113,Луковицы тюльпанов
01.30.10.114,Клубнелуковицы гладиолусов
01.30.10.115,Корневища орхидей
01.30.10.119,"Луковицы, клубнелуковицы, корневища прочих цветов"
01.30.10.120,Рассада
01.30.10.121,Рассада цветов
01.30.10.122,Рассада овощных культур
01.30.10.123,Рассада ягодных культур
01.30.10.124,Дернина рулонная (газон рулонный)
01.30.10.129,Рассада прочих растений
01.30.10.130,"Культуры плодовые и ягодные, включая черенки и отводки"
01.30.10.131,Культуры плодовые семечковые
01.30.10.132,Культуры плодовые косточковые
01.30.10.133,Культуры ягодные
01.30.10.134,Культуры орехоплодные
01.30.10.135,Культуры цитрусовые
01.30.10.136,Виноград (культура ягодная)
01.30.10.139,Культуры плодовые и ягодные прочие
01.30.10.140,"Культуры декоративные, включая черенки и отводки"
01.30.10.141,Рододендроны и азалии
01.30.10.142,"Сорта роз и шиповника (дикой розы) культурные, включая черенки и отводки"
01.30.10.149,"Культуры декоративные, включая черенки и отводки, прочие"
01.30.10.150,Мицелий гриба (грибница)
01.30.10.151,Мицелий тепличных шампиньонов
01.30.10.159,Мицелий прочих грибов
01.4,Животные живые и продукты животного происхождения
01.41,"Скот молочный крупный рогатый живой, молоко сырое крупного рогатого скота"
01.41.1,Скот молочный крупный рогатый живой
01.41.10,Скот молочный крупный рогатый живой
01.41.10.110,Скот молочный крупный рогатый живой (кроме племенного)
01.41.10.111,Коровы молочного стада (кроме племенных)
01.41.10.112,Быки-производители молочного стада (кроме племенных)
01.41.10.120,Скот молочный крупный рогатый живой племенной
01.41.10.121,Коровы молочного стада племенные
01.41.10.122,Быки-производители молочного стада племенные
01.41.2,Молоко сырое крупного рогатого скота
01.41.20,Молоко сырое крупного рогатого скота
01.41.20.110,Молоко сырое коровье
01.41.20.120,Молоко сырое буйволиц
01.41.20.130,Молоко сырое ячих
01.41.20.190,"Молоко сырое прочего крупного рогатого скота, не включенного в другие группировки"
01.42,Скот крупный рогатый прочий и буйволы живые и их сперма
01.42.1,Скот крупный рогатый прочий и буйволы живые
01.42.11,Скот крупный рогатый прочий и буйволы живые (кроме телят и молодняка)
01.42.11.110,"Скот крупный рогатый прочий и буйволы живые (кроме телят и молодняка), кроме племенного"
01.42.11.111,"Скот мясной крупный рогатый живой (кроме телят и молодняка), кроме племенного"
01.42.11.112,"Буйволы живые (кроме телят и молодняка), кроме племенных"
