code,description
01.02.09.14.99.03,ГОМЕОПАТИЧЕСКИЕ СРЕДСТВА
01.03.01.00,"СИСТЕМЫ ОХРАННОЙ, ПОЖАРНОЙ СИГНАЛИЗАЦИИ КОМПЛЕКТНЫЕ"
01.03.02,СИСТЕМЫ КОНТРОЛЯ ДОСТУПА И ОБОРУДОВАНИЕ ДЛЯ НИХ
01.03.02.11,СИСТЕМЫ КОНТРОЛЯ И УПРАВЛЕНИЯ ДОСТУПОМ
01.03.03.01,ВИДЕОКАМЕРЫ ДЛЯ СИСТЕМ ВИДЕОНАБЛЮДЕНИЯ И ОХРАНЫ
01.03.05.04,ТЕХНИЧЕСКИЕ СРЕДСТВА ДЛЯ ОРГАНИЗАЦИИ ДОСМОТРА ПОСЕТИТЕЛЕЙ
01.04.01.13.03,СРЕДСТВА ДЛЯ СПАСЕНИЯ С ВЫСОТЫ
01.16.15,КОМОДЫ
01.16.27,НАБОРЫ МЕБЕЛИ ДЛЯ ОРГАНИЗАЦИИ РАБОЧИХ СТОЛОВ
01.04.01.99,ИНВЕНТАРЬ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ ПРОЧИЙ
01.04.03.02,МОТОЦИКЛЫ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ
01.04.03.04.01,КАТЕРА
01.04.04.02,СИСТЕМЫ ОПОВЕЩЕНИЯ НАСЕЛЕНИЯ О ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЯХ
01.04.05,МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ
01.06.01.02,ПАРТЫ ДЛЯ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ
01.06.02,ОБОРУДОВАНИЕ УЧЕБНОЕ ЭЛЕКТРОННОЕ
01.06.02.01.04,КОММУТАЦИОННЫЕ УСТРОЙСТВА УЧЕБНЫЕ
01.06.04,МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ УЧЕБНОГО ОБОРУДОВАНИЯ
01.07.03.01,ИНСТРУМЕНТЫ СТРУННЫЕ И ЯЗЫЧКОВЫЕ
01.07.03.01.03.03,ВИОЛОНЧЕЛИ
01.07.03.02.01,ИНСТРУМЕНТЫ ДУХОВЫЕ АМБУШЮРНЫЕ С ВЕНТИЛЬНЫМ МЕХАНИЗМОМ
01.07.03.02.05.02,ФАГОТЫ
01.07.03.03.04.06,ПОГРЕМУШКИ
01.07.04,"ОБОРУДОВАНИЕ ТЕАТРАЛЬНОЕ, СЦЕНИЧЕСКОЕ"
01.07.04.01.06,ЦЕНТРЫ МУЗЫКАЛЬНЫЕ
01.07.04.02.01,КИНОПРОЕКТОРЫ ЦИФРОВЫЕ 3D
01.07.04.02.03,ВИДЕОПРОЕКТОРЫ ДЛЯ КИНОТЕАТРОВ
01.07.05.01,КРАСКИ ДЛЯ РИСОВАНИЯ
01.07.06.01.09,ПРИНАДЛЕЖНОСТИ И ЗАПАСНЫЕ ЧАСТИ ДЛЯ КЛАВИШНЫХ ИНСТРУМЕНТОВ
01.01.01.02.01.08,МУКА СОЕВАЯ
01.01.01.02.03.01,КРАХМАЛ
01.01.01.05,САХАР И СОЛЬ
01.01.01.05.01,САХАР
01.07.06.02.01,ЗАПАСНЫЕ ЧАСТИ К ЦИФРОВЫМ 3D КИНОПРОЕКТОРАМ
01.07.06.02.03,ЗАПАСНЫЕ ЧАСТИ К ВИДЕОПРОЕКТОРАМ ДЛЯ КИНОТЕАТРОВ
01.07.06.04.01,ЧАСТИ ДЛЯ РЕСТАВРАЦИОННОГО ОБОРУДОВАНИЯ
01.07.07.04,ПРОДУКЦИЯ ХИМИЧЕСКАЯ ДЛЯ РЕСТАВРАЦИИ
01.07.09.03,АВТОМАТЫ ИГРОВЫЕ
01.07.11.03.01,РЕКВИЗИТ ДЛЯ ТЕАТРАЛЬНЫХ ПОСТАНОВОК
01.08.01.01.01,СПОРТИВНЫЕ ТРЕНАЖЕРЫ
01.08.01.01.05,СПОРТИВНЫЕ НАСОСЫ
01.08.01.01.09,СУДЕЙСКИЙ ИНВЕНТАРЬ
01.08.01.01.10,ПРОЧИЙ ОБЩИЙ ИНВЕНТАРЬ ДЛЯ СПОРТИВНЫХ ИГР
01.08.01.07,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ КОНЬКОБЕЖНОГО СПОРТА
01.08.01.19,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ЛЫЖНОГО СПОРТА
01.08.01.21,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ БОЛЬШОГО ТЕННИСА
01.08.02.22,СПЕЦИАЛЬНАЯ ЭКИПИРОВКА ДЛЯ ПРЫЖКОВ НА БАТУТЕ
01.08.02.23,СПЕЦИАЛЬНАЯ ЭКИПИРОВКА ДЛЯ КОННОГО СПОРТА
01.08.02.25,СПЕЦИАЛЬНАЯ ЭКИПИРОВКА ДЛЯ ГОЛЬФА
01.01.01.07,МЕД
01.01.01.12.01.01,МАСЛО ПОДСОЛНЕЧНОЕ РАФИНИРОВАННОЕ
01.01.02.18,ТЫКВА СТОЛОВАЯ
01.01.02.19,УКРОП
01.01.02.23,ГОРОХ
01.01.02.27,ОЛИВКИ
01.01.02.30,ИКРА ОВОЩНАЯ
01.01.03.10,АНАНАСЫ
01.01.03.11,ДЫНИ
01.08.02.31,СПЕЦИАЛЬНАЯ ЭКИПИРОВКА ДЛЯ СПОРТИВНОГО ОРИЕНТИРОВАНИЯ
01.08.02.37,СПЕЦИАЛЬНАЯ ЭКИПИРОВКА ДЛЯ ШАХМАТ
01.09.01.06,МОТОЦИКЛЫ
01.09.01.10,ТРОЛЛЕЙБУСЫ
01.10,"ОБОРУДОВАНИЕ ЭНЕРГЕТИЧЕСКОЕ, ОСВЕТИТЕЛЬНЫЕ ПРИБОРЫ, ГОРЮЧЕ-СМАЗОЧНЫЕ МАТЕРИАЛЫ"
01.10.02.03,"ЖИДКОСТИ ОХЛАЖДАЮЩИЕ, ВКЛЮЧАЯ АНТИФРИЗ"
01.10.05.01.01,ОБОРУДОВАНИЕ ДЛЯ СОЗДАНИЯ СВЕТОВЫХ ЭФФЕКТОВ
01.10.05.01.07,ТЕХНИЧЕСКИЕ СРЕДСТВА ОСВЕЩЕНИЯ
01.10.05.02.01,ЛАМПЫ НАКАЛИВАНИЯ
01.01.06.05,ИЗДЕЛИЯ СУХАРНЫЕ
01.01.06.99,ХЛЕБОБУЛОЧНЫЕ ИЗДЕЛИЯ ПРОЧИЕ
01.01.07.01,КОНФЕТЫ ГЛАЗИРОВАННЫЕ
01.01.07.02.05,ПЛИТКИ ШОКОЛАДНЫЕ
01.01.07.03,ПЕЧЕНЬЕ
01.01.07.05.02,ТОРТЫ БИСКВИТНЫЕ
01.10.05.02.03,ЛАМПЫ ЭНЕРГОСБЕРЕГАЮЩИЕ
01.10.05.03,СВЕТИЛЬНИКИ
01.10.05.03.02.03,ПРОЖЕКТОРЫ
01.11.01.01.02,УСТАНОВКИ ВЕНТИЛЯЦИОННЫЕ
01.11.01.02.05,РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ СИСТЕМ КОНДИЦИОНИРОВАНИЯ
01.11.01.03.11.01,ТЕРМОСТАТЫ
01.11.01.03.11.02,УЗЛЫ УПРАВЛЕНИЯ АВТОМАТИЗИРОВАННЫЕ
01.11.01.03.11.99,ЗАПЧАСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОТОПИТЕЛЬНОГО ОБОРУДОВАНИЯ ПРОЧИЕ
01.11.01.06.01,ПРИБОРЫ УЧЕТА ГОРЯЧЕЙ ВОДЫ
01.11.01.06.03,ПРИБОРЫ УЧЕТА ТЕПЛОВОЙ ЭНЕРГИИ
01.11.01.08,ОБОРУДОВАНИЕ ЭЛЕКТРОТЕХНИЧЕСКОЕ
01.01.07.12,ИРИС
01.01.08.01.04,СВИНИНА
01.01.08.01.08,МЯСО КАБАНЬЕ
01.01.08.02.03,ПОТРОШКА
01.01.08.03.01,ИЗДЕЛИЯ КОЛБАСНЫЕ
01.01.08.03.02,РУБЛЕНЫЕ МЯСНЫЕ ПОЛУФАБРИКАТЫ
01.01.09.01,ЯЙЦА ПТИЦ В СКОРЛУПЕ
01.01.09.02,"ЯЙЦА ПТИЦ БЕЗ СКОРЛУПЫ И СВЕЖИЕ, СУШЕНЫЕ, ВАРЕНЫЕ, МОРОЖЕННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ ДРУГИМ СПОСОБОМ ЖЕЛТКИ"
01.01.10.01.05,МОЛОКО СУХОЕ
01.01.10.03.03,МАССА ТВОРОЖНАЯ
01.01.10.05.06,ЙОГУРТЫ
01.11.02.01.03,ШУРУПОВЕРТЫ АККУМУЛЯТОРНЫЕ
01.11.02.01.10,ЭЛЕКТРО- И МОТОПИЛЫ ЦЕПНЫЕ
01.11.02.01.99,ИНСТРУМЕНТ ЭЛЕКТРИЧЕСКИЙ И МОТОРИЗОВАННЫЙ ПРОЧИЙ
01.11.02.02.01,"ИНСТРУМЕНТ РУЧНОЙ СТОЛЯРНЫЙ, СЛЕСАРНЫЙ"
01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ
01.11.02.05.03,ПАЯЛЬНИКИ
01.11.02.09,РАБОЧИЕ ОРГАНЫ ИНСТРУМЕНТОВ СМЕННЫЕ
01.01.12.07,КРАБЫ
01.01.13,ДЕТСКОЕ ПИТАНИЕ
01.01.15.08.07,ПИВО
01.11.03.01.03.02,РЕШЕТКИ ЯЧЕИСТЫЕ КАНАЛИЗАЦИОННЫЕ
01.11.03.04.03,ПЕСОК
01.11.03.05.01,ЭМАЛИ
01.11.03.05.09,ОЛИФА
01.11.03.09,МАТЕРИАЛЫ ИЗОЛЯЦИОННЫЕ
01.11.03.11.01,ОБОИ БУМАЖНЫЕ
01.11.03.11.04,ОБОИ ТЕКСТИЛЬНЫЕ
01.11.03.12.05.03,ПЛИТКА НАПОЛЬНАЯ ИЗ ПРИРОДНОГО КАМНЯ
01.11.04.03.01,ПРОВОДА СТРОИТЕЛЬНЫЕ
01.11.04.04,"КАНАТЫ, ШНУРЫ, ТРОСЫ"
01.11.05.06,МАТЕРИАЛЫ И КОНСТРУКЦИИ СТРОИТЕЛЬНЫЕ ИЗ ПОЛИМЕРНЫХ МАТЕРИАЛОВ (КРОМЕ ТРУБ)
01.11.06.01.03,ТРУБЫ МЕТАЛЛОПЛАСТИКОВЫЕ
01.11.06.04,"АРМАТУРА СОЕДИНИТЕЛЬНАЯ, ЗАПОРНО-РЕГУЛИРУЮЩАЯ"
01.11.08.02,ПЛИТЫ ОГНЕЗАЩИТНЫЕ
01.11.08.03,ПОКРЫТИЯ ОГНЕЗАЩИТНЫЕ КОМБИНИРОВАННЫЕ
01.11.09.03.03,ОПАЛУБКА
01.11.10,КОНСТРУКЦИИ БЫСТРОВОЗВОДИМЫЕ И ИХ ЭЛЕМЕНТЫ
01.01.16.05,ПОЛУФАБРИКАТЫ МЯСНЫЕ
01.01.16.99,"ПОЛУФАБРИКАТЫ, ГОТОВЫЕ БЛЮДА ПРОЧИЕ"
01.02.02.01.01,СШИВАЮЩИЕ АППАРАТЫ
01.02.02.01.02,ИНСТРУМЕНТЫ ДЛЯ БЕСШОВНОГО ВОССТАНОВЛЕНИЯ ЦЕЛОСТНОСТИ ТКАНИ
01.02.02.04.04.01,КОЖНЫЕ ПЕРФОРАТОРЫ
01.02.02.04.04.02,НЕЙРОХИРУРГИЧЕСКИЕ ПЕРФОРАТОРЫ
01.02.02.04.04.03,КОПЬЕВИДНЫЕ (КОПЬЕОБРАЗНЫЕ) ПЕРФОРАТОРЫ
01.02.02.06.02.03,МЕДИЦИНСКИЕ ЛОПАТКИ
01.02.02.06.02.04,НОСОПОДЪЕМНИКИ
01.02.02.15.01,МЕДИЦИНСКИЕ ЗАЖИМЫ
01.02.02.17.04,"ТРУБКИ, КАНЮЛИ"
01.02.02.18,"ТРАВМАТОЛОГИЧЕСКИЕ ИНСТРУМЕНТЫ, ИНВЕНТАРЬ"
01.02.02.18.02,ИЗДЕЛИЯ ДЛЯ ВОЗДЕЙСТВИЯ НА КОСТИ
01.12.01.22,ТЕХНИКА ТОННЕЛЕПРОХОДЧЕСКАЯ
01.02.03.01.07,МЕДИЦИНСКИЕ НАРУКАВНИКИ
01.02.03.01.11,МЕДИЦИНСКИЕ БРЮКИ
01.02.03.01.12,МЕДИЦИНСКИЕ КУРТКИ
01.02.03.01.13,МЕДИЦИНСКИЕ ПОЛУКОМБИНЕЗОНЫ
01.02.03.02,МЕДИЦИНСКАЯ ОБУВЬ
01.12.04.03,ТРАКТОРЫ
01.13.01.01.02.01,АРМ СТАЦИОНАРНЫЕ МОДУЛЬНЫЕ ГРАФИЧЕСКИЕ
01.13.01.02.01,НОУТБУК
01.13.02.07,СЛОВАРИ ЭЛЕКТРОННЫЕ
01.13.04.01,УСТРОЙСТВА ОТОБРАЖЕНИЯ ИНФОРМАЦИИ
01.13.04.01.01,МОНИТОРЫ
01.13.04.02.01.04,ПРИНТЕРЫ МАТРИЧНЫЕ
01.13.04.02.01.07,ПРИНТЕРЫ РУЧНЫЕ ЛЕНТОЧНЫЕ
01.13.04.03.01,СКАНЕРЫ ПЛАНШЕТНЫЕ
01.13.04.04.03,МЫШЬ КОМПЬЮТЕРНАЯ
01.13.04.99.01,ДОСКИ ИНТЕРАКТИВНЫЕ
01.13.05.05,СИСТЕМЫ ХРАНЕНИЯ ДАННЫХ СО СЪЕМНЫМИ ОПТИЧЕСКИМИ НОСИТЕЛЯМИ (БИБЛИОТЕКИ)
01.13.06.07,ПРИНТ-СЕРВЕРЫ
01.13.07.03,ШКАФЫ ТЕЛЕКОММУНИКАЦИОННЫЕ
01.13.07.05.01,УСТРОЙСТВА БЕСПЕРЕБОЙНОГО ПИТАНИЯ
01.13.07.05.01.01,СИСТЕМЫ БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЦЕНТРАЛИЗОВАННЫЕ
01.13.07.05.03,ЩИТЫ ЭЛЕКТРОТЕХНИЧЕСКИЕ
01.13.07.05.07,"АККУМУЛЯТОРЫ ДЛЯ УСТРОЙСТВ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИХ, ЭЛЕКТРОНИКИ, ОРГТЕХНИКИ, СРЕДСТВ СВЯЗИ"
01.13.08.04,ОБОРУДОВАНИЕ КРОСС-КОММУТАЦИОННОЕ И РАСПРЕДЕЛИТЕЛЬНОЕ ДЛЯ СЕТЕЙ И ЛИНИЙ СВЯЗИ
01.13.09.03.05,МИНИ-АТС АНАЛОГОВЫЕ
01.13.09.03.08,"КОМПЛЕКТУЮЩИЕ, ЗАПАСНОЕ И ДОПОЛНИТЕЛЬНОЕ ОБОРУДОВАНИЕ ДЛЯ АТС"
01.13.09.05.01,УСТРОЙСТВА СПУТНИКОВОЙ СВЯЗИ ПРИЕМНЫЕ
01.13.09.99.02,СРЕДСТВА И СИСТЕМЫ ПРЯМОЙ ДИСПЕТЧЕРСКОЙ СВЯЗИ И ОПОВЕЩЕНИЯ
01.13.11.03.04.01,ФОТОАППАРАТЫ ПЛЕНОЧНЫЕ
01.13.11.03.04.04,ОБОРУДОВАНИЕ ДЛЯ ФОТОЛАБОРАТОРИЙ
01.13.11.03.04.05,ОБОРУДОВАНИЕ ДЛЯ МИКРОФИЛЬМИРОВАНИЯ
01.13.11.03.05.01,УСТРОЙСТВА ЗВУКОЗАПИСИ АНАЛОГОВЫЕ
01.13.11.03.05.05.02,ПРОИГРЫВАТЕЛИ ГРАМПЛАСТИНОК (ЭЛЕКТРОФОНЫ)
01.13.11.03.05.05.03,ПЛЕЕРЫ НА ЖЕСТКИХ ДИСКАХ
01.13.11.03.05.07,НАУШНИКИ
01.13.11.03.05.09,ДОМАШНИЕ КИНОТЕАТРЫ
01.13.12.04,КИОСКИ ЭЛЕКТРОННЫЕ САМООБСЛУЖИВАНИЯ
01.13.12.06.01.02,СИСТЕМЫ ОБНАРУЖЕНИЯ ВТОРЖЕНИЯ АППАРАТНО-ПРОГРАММНЫЕ (IDS)
01.13.12.06.01.03,СИСТЕМЫ ОБНАРУЖЕНИЯ УТЕЧЕК ИНФОРМАЦИИ АППАРАТНО-ПРОГРАММНЫЕ (DLP)
01.13.12.06.02,СРЕДСТВА И СИСТЕМЫ ЗАЩИТЫ ИНФОРМАЦИИ КРИПТОГРАФИЧЕСКИЕ
01.13.13.05,ДИСКИ ОПТИЧЕСКИЕ С ВОЗМОЖНОСТЬЮ ЗАПИСИ
01.13.16.05,ИНСТРУМЕНТЫ ДЛЯ ПАЙКИ
01.13.16.06,"ОТВЕРТКИ, НАБОРЫ ОТВЕРТОК"
01.13.17.02,МАТЕРИНСКИЕ ПЛАТЫ
01.13.17.07,ПРИВОДЫ ДЛЯ ЧТЕНИЯ И ЗАПИСИ ОПТИЧЕСКИХ ДИСКОВ
01.13.17.99,КОМПЛЕКТУЮЩИЕ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ ПРОЧИЕ
01.14,ЛИТЕРАТУРА И ПОЛИГРАФИЧЕСКАЯ ПРОДУКЦИЯ
01.14.11,ПОСТЕРЫ В РАМЕ
01.15.01.02.03,БУМАГА БАРХАТНАЯ
01.15.01.02.04,БУМАГА МИКАЛЕНТНАЯ
01.15.01.04,КАРТОН
01.15.01.07,БЛОКИ БУМАЖНЫЕ ДЛЯ ЗАПИСЕЙ
01.15.01.99.01,БУМАГА УПАКОВОЧНАЯ
01.20.07.03.02,ОДЕЯЛА
01.20.07.03.03,МАТРАЦЫ
01.20.09.01.02,"ФИГУРКИ, ИЗОБРАЖАЮЩИЕ ЖИВОТНЫХ И ДРУГИЕ ПЕРСОНАЖИ, КРОМЕ МЯГКИХ (НАБИВНЫХ)"
01.20.10.01,"РАСХОДНЫЕ МАТЕРИАЛЫ, КОМПЛЕКТУЮЩИЕ, ЗАПАСНЫЕ ЧАСТИ ДЛЯ КУХОННОГО ОБОРУДОВАНИЯ"
01.20.12,ЗЕРКАЛА
01.20.99,ТОВАРЫ ХОЗЯЙСТВЕННЫЕ ПРОЧИЕ
01.20.99.02.01,ЧАСЫ НАСТЕННЫЕ
01.20.99.02.02,ЧАСЫ НАПОЛЬНЫЕ
01.20.99.02.03,ЧАСЫ НАСТОЛЬНЫЕ И КАМИННЫЕ
01.20.99.05,ИНСТРУМЕНТ БЫТОВОЙ ПРОЧИЙ
01.22,НЕДВИЖИМОСТЬ
01.22.02,"ЗДАНИЯ, СООРУЖЕНИЯ"
01.24.02,НИТКИ
01.24.04.04,ПОДОДЕЯЛЬНИКИ
01.24.04.06,КОМПЛЕКТЫ ПОСТЕЛЬНОГО БЕЛЬЯ
01.25.02.01.08,МАРМИТЫ
01.25.02.02,ОБОРУДОВАНИЕ ДЛЯ ПОДГОТОВКИ ПИЩИ
01.25.02.99.02,УСТРОЙСТВА ДЛЯ ЗАТОЧКИ НОЖЕЙ КУХОННЫЕ
01.25.03.02,ОБОРУДОВАНИЕ УБОРОЧНОЕ
02.01.01.01.01,ПРОВЕДЕНИЕ ИНСТРУМЕНТАЛЬНОГО ОБСЛЕДОВАНИЯ
02.01.02,ИЗЫСКАНИЯ ИНЖЕНЕРНО-ГЕОДЕЗИЧЕСКИЕ
02.01.03.03,ПРОХОДКА ГОРНЫХ ВЫРАБОТОК
02.01.03.05,ИССЛЕДОВАНИЯ ГРУНТОВ ПОЛЕВЫЕ
02.01.03.08,ОБСЛЕДОВАНИЕ ГРУНТОВ ОСНОВАНИЙ
02.01.04.06,АКТУАЛИЗАЦИЯ ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКОГО ПРОЕКТА
02.02.01.02,РАЗРАБОТКА ПСД НА СТРОЕНИЯ
02.02.01.03,РАЗРАБОТКА ПСД НА СООРУЖЕНИЯ
02.02.01.06,РАЗРАБОТКА ПСД НА ЗЕЛЕНЫЕ НАСАЖДЕНИЯ
02.02.05.01,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ТРАНСПОРТНОЙ СИСТЕМЫ
02.02.05.02.04,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ПРОЧИМ ОБЪЕКТАМ ЗДРАВООХРАНЕНИЯ
02.02.05.03.06,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ВСПОМОГАТЕЛЬНЫМ ОБЪЕКТАМ ОБРАЗОВАНИЯ
02.02.05.04.04,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СПЕЦИАЛИЗИРОВАННЫМ ОБЪЕКТАМ ДЛЯ ПРОЖИВАНИЯ СО СПЕЦИАЛИЗИРОВАННЫМ МЕДИЦИНСКИМ ОБСЛУЖИВАНИЕМ
02.02.05.05.01,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ЖИЛЫХ ДОМОВ
02.02.05.06.06,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОДООТВЕДЕНИЯ ПОВЕРХНОСТНОГО СТОКА
02.02.05.08,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СПОРТИВНЫМ ОБЪЕКТАМ
02.02.05.08.08,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ СПОРТИВНЫХ КОМПЛЕКСОВ
02.02.05.11.01,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ХРАНЕНИЯ И УТИЛИЗАЦИИ ОТХОДОВ
02.02.05.11.03,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ПРОТИВООПОЛЗНЕВЫХ МЕРОПРИЯТИЙ
02.02.05.13.04,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОФИСНЫМ ОБЪЕКТАМ
01.15.05.03.02,"СТЕНДЫ, ТАБЛИЧКИ, КАРМАНЫ ИНФОРМАЦИОННЫЕ"
01.15.05.02.06.01,МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ СШИВАНИЯ И ПЕРЕПЛЕТА ДОКУМЕНТОВ ПЛАСТИКОВЫЕ
01.15.07.05.01,ПОДСТАВКИ ДЛЯ КНИГ МЕТАЛЛИЧЕСКИЕ
02.02.05.13.05,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ФИНАНСОВО-КРЕДИТНЫХ И СТРАХОВЫХ ОРГАНИЗАЦИЙ
02.02.05.17.04,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СЕЛЬСКОХОЗЯЙСТВЕННЫМ ОБЪЕКТАМ ИНОГО ТИПА
02.02.05.19,"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВЕТЕРИНАРИИ, ПО УХОДУ И СОДЕРЖАНИЮ ЖИВОТНЫХ"
02.02.05.20,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО КУЛЬТОВЫМ И РЕЛИГИОЗНЫМ ОБЪЕКТАМ
02.02.05.23.01,"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ДАЧНЫХ И САДОВЫХ ДОМОВ, РАСПОЛОЖЕННЫХ НА САДОВЫХ, ОГОРОДНЫХ И ДАЧНЫХ ЗЕМЕЛЬНЫХ УЧАСТКАХ"
02.03.01.02.02,СТРОИТЕЛЬСТВО СПОРТИВНЫХ СООРУЖЕНИЙ
02.03.02.02.05,СТРОИТЕЛЬСТВО АВТОМОБИЛЬНЫХ И ЖЕЛЕЗНОДОРОЖНЫХ ТОННЕЛЕЙ
02.03.02.06,СТРОИТЕЛЬСТВО ОБЪЕКТОВ ГАЗОСНАБЖЕНИЯ
02.03.02.07.03,СТРОИТЕЛЬСТВО ОБЪЕКТОВ ВОДОСНАБЖЕНИЯ
02.04.01.02.04,РЕКОНСТРУКЦИЯ ЗДАНИЙ И СООРУЖЕНИЙ КУЛЬТУРЫ И ОБРАЗОВАНИЯ
02.04.03.02,РЕКОНСТРУКЦИЯ ТРАНСПОРТНЫХ ОБЪЕКТОВ
